"index","eco","title","pgn","last_ply","sq_from","sq_to","sq_check","fen"
"0","A00","Anderssen Opening","1. a3","1. a3 ... ","a2","a3","","rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq - 0 1"
"1","A00","Creepy Crawly (Basman) Opening","1. a3 e5 2. h3 d5","2.  ... d5","d7","d5","","rnbqkbnr/ppp2ppp/8/3pp3/8/P6P/1PPPPPP1/RNBQKBNR w KQkq - 0 3"
"2","A00","Ware (Meadow Hay) Opening","1. a4","1. a4 ... ","a2","a4","","rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq - 0 1"
"3","A00","Crab Opening","1. a4 e5 2. h4","2. h4 ... ","h2","h4","","rnbqkbnr/pppp1ppp/8/4p3/P6P/8/1PPPPPP1/RNBQKBNR b KQkq - 0 2"
"4","A00","Durkin's Attack","1. Na3","1. Na3 ... ","b1","a3","","rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq - 1 1"
"5","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening","1. Nc3","1. Nc3 ... ","b1","c3","","rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1"
"6","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: 1...Nf6","1. Nc3 Nf6","1.  ... Nf6","g8","f6","","rnbqkb1r/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 2 2"
"7","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: 1...Nf6 2.Nf3","1. Nc3 Nf6 2. Nf3","2. Nf3 ... ","g1","f3","","rnbqkb1r/pppppppp/5n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 3 2"
"8","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: Tübingen Gambit","1. Nc3 Nf6 2. g4","2. g4 ... ","g2","g4","","rnbqkb1r/pppppppp/5n2/8/6P1/2N5/PPPPPP1P/R1BQKBNR b KQkq - 0 2"
"9","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: 1...e5","1. Nc3 e5","1.  ... e5","e7","e5","","rnbqkbnr/pppp1ppp/8/4p3/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2"
"10","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: 1...e5 2.Nf3","1. Nc3 e5 2. Nf3","2. Nf3 ... ","g1","f3","","rnbqkbnr/pppp1ppp/8/4p3/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2"
"11","A00","Battambang Opening","1. Nc3 e5 2. a3","2. a3 ... ","a2","a3","","rnbqkbnr/pppp1ppp/8/4p3/8/P1N5/1PPPPPPP/R1BQKBNR b KQkq - 0 2"
"12","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: Sicilian Variation","1. Nc3 c5","1.  ... c5","c7","c5","","rnbqkbnr/pp1ppppp/8/2p5/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2"
"13","A00","Novosibirsk Opening","1. Nc3 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qh4","4. Qh4 ... ","d4","h4","","r1bqkbnr/pp1ppppp/2n5/8/7Q/2N5/PPP1PPPP/R1B1KBNR b KQkq - 2 4"
"14","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: Sicilian Variation, 2.Nf3","1. Nc3 c5 2. Nf3","2. Nf3 ... ","g1","f3","","rnbqkbnr/pp1ppppp/8/2p5/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2"
"15","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: Sicilian Variation, 2.Nf3 Nc6","1. Nc3 c5 2. Nf3 Nc6","2.  ... Nc6","b8","c6","","r1bqkbnr/pp1ppppp/2n5/2p5/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 2 3"
"16","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: 1...d5","1. Nc3 d5","1.  ... d5","d7","d5","","rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2"
"17","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: 1...d5 2.Nf3","1. Nc3 d5 2. Nf3","2. Nf3 ... ","g1","f3","","rnbqkbnr/ppp1pppp/8/3p4/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2"
"18","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: 1...d5 2.Nf3 Nf6","1. Nc3 d5 2. Nf3 Nf6","2.  ... Nf6","g8","f6","","rnbqkb1r/ppp1pppp/5n2/3p4/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 2 3"
"19","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: 1...d5 2.e4","1. Nc3 d5 2. e4","2. e4 ... ","e2","e4","","rnbqkbnr/ppp1pppp/8/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 0 2"
"20","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: 1...d5 2.e4 d4","1. Nc3 d5 2. e4 d4","2.  ... d4","d5","d4","","rnbqkbnr/ppp1pppp/8/8/3pP3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3"
"21","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: 1...d5 2.e4 dxe4","1. Nc3 d5 2. e4 dxe4","2.  ... dxe4","d5","e4","","rnbqkbnr/ppp1pppp/8/8/4p3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3"
"22","A00","Dunst (Sleipner-Heinrichsen-Van Geet) Opening: Hector Gambit","1. Nc3 d5 2. e4 dxe4 3. Bc4","3. Bc4 ... ","f1","c4","","rnbqkbnr/ppp1pppp/8/8/2B1p3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 1 3"
"23","A00","Polish (Sokolsky-Orangutan) Opening","1. b4","1. b4 ... ","b2","b4","","rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1"
"24","A00","Polish (Sokolsky-Orangutan) Opening: Alpha Male Attack, Simagin Variation","1. b4 a5","1.  ... a5","a7","a5","","rnbqkbnr/1ppppppp/8/p7/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2"
"25","A00","Polish (Sokolsky-Orangutan) Opening: Birmingham Gambit","1. b4 c5","1.  ... c5","c7","c5","","rnbqkbnr/pp1ppppp/8/2p5/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2"
