"index","eco","title","pgn","last_ply","sq_from","sq_to","sq_check","fen"
"0","A00","Polish (Sokolsky) opening","1. b4","1. b4 ... ","b2","b4","","rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1"
"1","A00","Polish: Tuebingen Variation","1. b4 Nh6","1.  ... Nh6","g8","h6","","rnbqkb1r/pppppppp/7n/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 1 2"
"2","A00","Polish: Outflank Variation","1. b4 c6","1.  ... c6","c7","c6","","rnbqkbnr/pp1ppppp/2p5/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2"
"3","A00","Benko's Opening","1. g3","1. g3 ... ","g2","g3","","rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1"
"4","A00","Lasker simul special","1. g3 h5","1.  ... h5","h7","h5","","rnbqkbnr/ppppppp1/8/7p/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2"
"5","A00","Benko's Opening: reversed Alekhine","1. g3 e5 2. Nf3","2. Nf3 ... ","g1","f3","","rnbqkbnr/pppp1ppp/8/4p3/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 1 2"
"6","A00","Grob's attack","1. g4","1. g4 ... ","g2","g4","","rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1"
"7","A00","Grob: Spike attack","1. g4 d5 2. Bg2 c6 3. g5","3. g5 ... ","g4","g5","","rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq - 0 3"
"8","A00","Grob: Fritz gambit","1. g4 d5 2. Bg2 Bxg4 3. c4","3. c4 ... ","c2","c4","","rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq - 0 3"
"9","A00","Grob: Romford counter-gambit","1. g4 d5 2. Bg2 Bxg4 3. c4 d4","3.  ... d4","d5","d4","","rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq - 0 4"
"10","A00","Clemenz (Mead's, Basman's or de Klerk's) Opening","1. h3","1. h3 ... ","h2","h3","","rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b KQkq - 0 1"
"11","A00","Global Opening","1. h3 e5 2. a3","2. a3 ... ","a2","a3","","rnbqkbnr/pppp1ppp/8/4p3/8/P6P/1PPPPPP1/RNBQKBNR b KQkq - 0 2"
"12","A00","Amar (Paris) Opening","1. Nh3","1. Nh3 ... ","g1","h3","","rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq - 1 1"
"13","A00","Amar gambit","1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4","4.  ... exf4","e5","f4","","rn1qkbnr/ppp2ppp/8/3p4/5p2/6PB/PPPPP2P/RNBQK2R w KQkq - 0 5"
"14","A00","Dunst (Sleipner, Heinrichsen) Opening","1. Nc3","1. Nc3 ... ","b1","c3","","rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1"
"15","A00","Dunst (Sleipner,Heinrichsen) Opening","1. Nc3 e5","1.  ... e5","e7","e5","","rnbqkbnr/pppp1ppp/8/4p3/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2"
"16","A00","Battambang Opening","1. Nc3 e5 2. a3","2. a3 ... ","a2","a3","","rnbqkbnr/pppp1ppp/8/4p3/8/P1N5/1PPPPPPP/R1BQKBNR b KQkq - 0 2"
"17","A00","Novosibirsk Opening","1. Nc3 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qh4","4. Qh4 ... ","d4","h4","","r1bqkbnr/pp1ppppp/2n5/8/7Q/2N5/PPP1PPPP/R1B1KBNR b KQkq - 2 4"
"18","A00","Anderssen's Opening","1. a3","1. a3 ... ","a2","a3","","rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq - 0 1"
"19","A00","Ware (Meadow Hay) Opening","1. a4","1. a4 ... ","a2","a4","","rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq - 0 1"
"20","A00","Crab Opening","1. a4 e5 2. h4","2. h4 ... ","h2","h4","","rnbqkbnr/pppp1ppp/8/4p3/P6P/8/1PPPPPP1/RNBQKBNR b KQkq - 0 2"
"21","A00","Saragossa Opening","1. c3","1. c3 ... ","c2","c3","","rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1"
"22","A00","Mieses Opening","1. d3","1. d3 ... ","d2","d3","","rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1"
"23","A00","Mieses Opening","1. d3 e5","1.  ... e5","e7","e5","","rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPP1PPPP/RNBQKBNR w KQkq - 0 2"
"24","A00","Valencia Opening","1. d3 e5 2. Nd2","2. Nd2 ... ","b1","d2","","rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPPNPPPP/R1BQKBNR b KQkq - 1 2"
"25","A00","Venezolana Opening","1. d3 c5 2. Nc3 Nc6 3. g3","3. g3 ... ","g2","g3","","r1bqkbnr/pp1ppppp/2n5/2p5/8/2NP2P1/PPP1PP1P/R1BQKBNR b KQkq - 0 3"
"26","A00","Van't Kruijs Opening","1. e3","1. e3 ... ","e2","e3","","rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1"
"27","A00","Amsterdam attack","1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6","4.  ... Nf6","g8","f6","","r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq - 1 5"
"28","A00","Gedult's Opening","1. f3","1. f3 ... ","f2","f3","","rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1"
"29","A00","Hammerschlag (Fried fox/Pork chop Opening)","1. f3 e5 2. Kf2","2. Kf2 ... ","e1","f2","","rnbqkbnr/pppp1ppp/8/4p3/8/5P2/PPPPPKPP/RNBQ1BNR b kq - 1 2"
"30","A00","Anti-Borg (Desprez) Opening","1. h4","1. h4 ... ","h2","h4","","rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq - 0 1"
"31","A00","Durkin's attack","1. Na3","1. Na3 ... ","b1","a3","","rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq - 1 1"
"32","A01","Nimzovich-Larsen attack","1. b3","1. b3 ... ","b2","b3","","rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1"
"33","A01","Nimzovich-Larsen attack: Modern Variation","1. b3 e5","1.  ... e5","e7","e5","","rnbqkbnr/pppp1ppp/8/4p3/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2"
"34","A01","Nimzovich-Larsen attack: Indian Variation","1. b3 Nf6","1.  ... Nf6","g8","f6","","rnbqkb1r/pppppppp/5n2/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 1 2"
"35","A01","Nimzovich-Larsen attack: Classical Variation","1. b3 d5","1.  ... d5","d7","d5","","rnbqkbnr/ppp1pppp/8/3p4/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2"
"36","A01","Nimzovich-Larsen attack: English Variation","1. b3 c5","1.  ... c5","c7","c5","","rnbqkbnr/pp1ppppp/8/2p5/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2"
"37","A01","Nimzovich-Larsen attack: Dutch Variation","1. b3 f5","1.  ... f5","f7","f5","","rnbqkbnr/ppppp1pp/8/5p2/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2"
"38","A01","Nimzovich-Larsen attack: Polish Variation","1. b3 b5","1.  ... b5","b7","b5","","rnbqkbnr/p1pppppp/8/1p6/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2"
"39","A01","Nimzovich-Larsen attack: Symmetrical Variation","1. b3 b6","1.  ... b6","b7","b6","","rnbqkbnr/p1pppppp/1p6/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2"
"40","A02","Bird's Opening","1. f4","1. f4 ... ","f2","f4","","rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq - 0 1"
"41","A02","Bird: From gambit","1. f4 e5","1.  ... e5","e7","e5","","rnbqkbnr/pppp1ppp/8/4p3/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2"
"42","A02","Bird: From gambit, Lasker Variation","1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 g5","4.  ... g5","g7","g5","","rnbqk1nr/ppp2p1p/3b4/6p1/8/5N2/PPPPP1PP/RNBQKB1R w KQkq - 0 5"
"43","A02","Bird: From gambit, Lipke Variation","1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 Nh6 5. d4","5. d4 ... ","d2","d4","","rnbqk2r/ppp2ppp/3b3n/8/3P4/5N2/PPP1P1PP/RNBQKB1R b KQkq - 0 5"
"44","A02","Bird's Opening, Swiss gambit","1. f4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4","4. g4 ... ","g2","g4","","rnbqkb1r/ppppp1pp/5n2/8/4pPP1/2N5/PPPP3P/R1BQKBNR b KQkq - 0 4"
"45","A02","Bird: Hobbs gambit","1. f4 g5","1.  ... g5","g7","g5","","rnbqkbnr/pppppp1p/8/6p1/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2"
"46","A03","Bird's Opening","1. f4 d5","1.  ... d5","d7","d5","","rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2"
"47","A03","Mujannah Opening","1. f4 d5 2. c4","2. c4 ... ","c2","c4","","rnbqkbnr/ppp1pppp/8/3p4/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq - 0 2"
"48","A03","Bird's Opening: Williams gambit","1. f4 d5 2. e4","2. e4 ... ","e2","e4","","rnbqkbnr/ppp1pppp/8/3p4/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2"
"49","A03","Bird's Opening: Lasker Variation","1. f4 d5 2. Nf3 Nf6 3. e3 c5","3.  ... c5","c7","c5","","rnbqkb1r/pp2pppp/5n2/2pp4/5P2/4PN2/PPPP2PP/RNBQKB1R w KQkq - 0 4"
"50","A04","Reti Opening","1. Nf3","1. Nf3 ... ","g1","f3","","rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1"
"51","A04","Reti v Dutch","1. Nf3 f5","1.  ... f5","f7","f5","","rnbqkbnr/ppppp1pp/8/5p2/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2"
"52","A04","Reti: Pirc-Lisitsin gambit","1. Nf3 f5 2. e4","2. e4 ... ","e2","e4","","rnbqkbnr/ppppp1pp/8/5p2/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 2"
"53","A04","Reti: Lisitsin gambit deferred","1. Nf3 f5 2. d3 Nf6 3. e4","3. e4 ... ","e2","e4","","rnbqkb1r/ppppp1pp/5n2/5p2/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 3"
"54","A04","Reti Opening","1. Nf3 d6","1.  ... d6","d7","d6","","rnbqkbnr/ppp1pppp/3p4/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2"
"55","A04","Reti: Wade defense","1. Nf3 d6 2. e4 Bg4","2.  ... Bg4","c8","g4","","rn1qkbnr/ppp1pppp/3p4/8/4P1b1/5N2/PPPP1PPP/RNBQKB1R w KQkq - 1 3"
"56","A04","Reti: Herrstroem gambit","1. Nf3 g5","1.  ... g5","g7","g5","","rnbqkbnr/pppppp1p/8/6p1/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2"
"57","A05","Reti Opening","1. Nf3 Nf6","1.  ... Nf6","g8","f6","","rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2"
"58","A05","Reti: King's Indian attack, Spassky's Variation","1. Nf3 Nf6 2. g3 b5","2.  ... b5","b7","b5","","rnbqkb1r/p1pppppp/5n2/1p6/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3"
"59","A05","Reti: King's Indian attack","1. Nf3 Nf6 2. g3 g6","2.  ... g6","g7","g6","","rnbqkb1r/pppppp1p/5np1/8/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3"
"60","A05","Reti: King's Indian attack, Reti-Smyslov Variation","1. Nf3 Nf6 2. g3 g6 3. b4","3. b4 ... ","b2","b4","","rnbqkb1r/pppppp1p/5np1/8/1P6/5NP1/P1PPPP1P/RNBQKB1R b KQkq - 0 3"
"61","A06","Reti Opening","1. Nf3 d5","1.  ... d5","d7","d5","","rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2"
"62","A06","Reti: Old Indian attack","1. Nf3 d5 2. d3","2. d3 ... ","d2","d3","","rnbqkbnr/ppp1pppp/8/3p4/8/3P1N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2"
"63","A06","Santasiere's folly","1. Nf3 d5 2. b4","2. b4 ... ","b2","b4","","rnbqkbnr/ppp1pppp/8/3p4/1P6/5N2/P1PPPPPP/RNBQKB1R b KQkq - 0 2"
"64","A06","Tennison (Lemberg, Zukertort) gambit","1. Nf3 d5 2. e4","2. e4 ... ","e2","e4","","rnbqkbnr/ppp1pppp/8/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 2"
"65","A06","Reti: Nimzovich-Larsen attack","1. Nf3 d5 2. b3","2. b3 ... ","b2","b3","","rnbqkbnr/ppp1pppp/8/3p4/8/1P3N2/P1PPPPPP/RNBQKB1R b KQkq - 0 2"
"66","A07","Reti: King's Indian attack (Barcza system)","1. Nf3 d5 2. g3","2. g3 ... ","g2","g3","","rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2"
"67","A07","Reti: King's Indian attack, Yugoslav Variation","1. Nf3 d5 2. g3 Nf6 3. Bg2 c6 4. O-O Bg4","4.  ... Bg4","c8","g4","","rn1qkb1r/pp2pppp/2p2n2/3p4/6b1/5NP1/PPPPPPBP/RNBQ1RK1 w kq - 2 5"
"68","A07","Reti: King's Indian attack, Keres Variation","1. Nf3 d5 2. g3 Bg4 3. Bg2 Nd7","3.  ... Nd7","b8","d7","","r2qkbnr/pppnpppp/8/3p4/6b1/5NP1/PPPPPPBP/RNBQK2R w KQkq - 3 4"
"69","A07","Reti: King's Indian attack","1. Nf3 d5 2. g3 g6","2.  ... g6","g7","g6","","rnbqkbnr/ppp1pp1p/6p1/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3"
"70","A07","Reti: King's Indian attack, Pachman system","1. Nf3 d5 2. g3 g6 3. Bg2 Bg7 4. O-O e5 5. d3 Ne7","5.  ... Ne7","g8","e7","","rnbqk2r/ppp1npbp/6p1/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq - 1 6"
"71","A07","Reti: King's Indian attack (with ...c5)","1. Nf3 d5 2. g3 c5","2.  ... c5","c7","c5","","rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3"
"72","A08","Reti: King's Indian attack","1. Nf3 d5 2. g3 c5 3. Bg2","3. Bg2 ... ","f1","g2","","rnbqkbnr/pp2pppp/8/2pp4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3"
